Title,Accession number,Author,Author affiliation,Corresponding author,Source,Abbreviated source title,Sponsor,Publisher,Volume,Issue,Pages,Issue date,Monograph title,Volume title,Part number,Publication year,Language,ISSN,E-ISSN,ISBN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Conference code,CODEN,Document type,Abstract,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Treatment,Funding details,Funding text,Access type,Database,Copyright,Data Provider
"Swarm optimization algorithms applied to multi-resource fair allocation in heterogeneous cloud computing systems","20172503794103","Liu, Xi (1); Zhang, Xiaolu (1); Li, Weidong (1); Zhang, Xuejie (1) ","(1) Yunnan University, Kunming; 650091, China ","Zhang, Xuejie(xjzhang@ynu.edu.cn) ","Computing","Comput.","","Springer-Verlag Wien","99","12","1231-1255","December 1, 2017","","","","2017","English","0010485X","","","","10.1007/s00607-017-0561-x","","","","","","CMPTA2","Journal article (JA)","Resource fair allocation is a challenging problem in heterogeneous cloud computing systems, both in real-life problems and for scientific research purposes. However, it is an NP-hard problem and solutions obtained by existing heuristic algorithms have a significant gap up to the optimal solutions. Motivated by this fact, we propose three swarm optimization algorithms: discrete artificial bee colony, discrete artificial fish swarm, and discrete shuffled frog leaping. In addition, we investigate how to utilize the impact of search behavior to improve the performance of the algorithm, and we design the self-adaptive parameter settings to balance between the exploitation and exploration of the algorithm. Furthermore, we propose a heuristic algorithm to generate a good initial solution. Compared with some algorithms from the literature, the simulation results show that our proposed algorithms can maximize the global dominant share fairly and increase the resource utilization, and they are highly adaptable to different situations. © 2017, Springer-Verlag Wien.","30","Optimization","Cloud computing - Computational complexity - Evolutionary algorithms - Heuristic algorithms","Artificial bee colonies - Artificial fish - Dominant resource fairness - Fair allocation - Shuffled frog leaping","721.1 Computer Theory, Includes Formal Logic, Automata Theory, Switching Theory, Programming Theory - 722.4 Digital Computers and Systems - 723.1 Computer Programming - 921.5 Optimization Techniques",,"Number: 11301466, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 11361048, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 2014FB114, Acronym: -, Sponsor: Natural Science Foundation of Yunnan Province; Number: 61662088, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","The work is supported in part by the National Natural Science Foundation of China (Nos. 61662088, 11301466, 11361048), and the Natural Science Foundation of Yunnan Province of China (No. 2014FB114).",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Implementation of Ant Colony Optimization Combined with Tabu Search for Multi-resource Fair Allocation in Heterogeneous Cloud Computing","20173404057865","Liu, Xi (1); Zhang, Xiaolu (1); Cui, Qianna (1); Li, Weidong (1) ","(1) Yunnan University, China ","Li, Weidong(cuiqianna@126.com) ","Proceedings - 3rd IEEE International Conference on Big Data Security on Cloud, BigDataSecurity 2017, 3rd IEEE International Conference on High Performance and Smart Computing, HPSC 2017 and 2nd IEEE International Conference on Intelligent Data and Security, IDS 2017","Proc. - IEEE Int. Conf. Big Data Secur. Cloud, BigDataSecurity, IEEE Int. Conf. High Perform. Smart Comput., HPSC IEEE Int. Conf. Intell. Data Secur., IDS","et al.; IEEE; IEEE Computer Society; IEEE STC Smart Computing; IEEE TCSC; Pace University","Institute of Electrical and Electronics Engineers Inc.","","","196-201","July 13, 2017","Proceedings - 3rd IEEE International Conference on Big Data Security on Cloud, BigDataSecurity 2017, 3rd IEEE International Conference on High Performance and Smart Computing, HPSC 2017 and 2nd IEEE International Conference on Intelligent Data and Security, IDS 2017","","1 of 1","2017","English","","","","9781509062959","10.1109/BigDataSecurity.2017.14","7980341","3rd IEEE International Conference on Big Data Security on Cloud, BigDataSecurity 2017, 3rd IEEE International Conference on High Performance and Smart Computing, HPSC 2017 and 2nd IEEE International Conference on Intelligent Data and Security, IDS 2017","May 26, 2017 - May 28, 2017","Beijing, China","129177","","Conference article (CA)","Resource allocation strategy has been a hot anddifficult research topic in the field of cloud computing. We address the problem of resource fairness allocation in heterogeneous cloud computing where the multiple types of resource are considered, which is computationally intractable. There is a significant gap between the solutions obtained by existing heuristic algorithmsand the optimal solutions, leading to lower resource utilization and unfair resource allocation. We propose a hybrid algorithm based on ant colony optimization (ACO) and Tabu Search (TS) to maximize the minimum global dominant share in heterogeneous servers. In order to balance the exploitation and exploration of the algorithm, the new self-adaptive parameter settings are introducedas uniformly random numbers to enhance the diversityof the population. Furthermore, we propose a revising operation to change infeasible solutions into feasible solutions. Compared with some algorithms from the literature, the experimental results indicate that our proposed algorithm can maximize the globaldominant share fairly and increase the resource utilization, and it is highly adaptable to different situations. © 2017 IEEE.","26","Big data","Ant colony optimization - Artificial intelligence - Cloud computing - Network security - Resource allocation - Tabu search","Ant Colony Optimization (ACO) - Exploitation and explorations - Feasible solution - Heterogeneous servers - Infeasible solutions - Optimal solutions - Resource allocation strategies - Resource utilizations","722.4 Digital Computers and Systems - 723 Computer Software, Data Handling and Applications - 912.2 Management - 921.5 Optimization Techniques",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Evaluation of PLA nanocomposite films on physicochemical and microbiological properties of refrigerated cottage cheese","20172203704234","Li, Wenhui (1); Li, Lin (2); Zhang, Heng (1); Yuan, Minglong (3); Qin, Yuyue (1) ","(1) Institute of Yunnan Food Safety, Kunming University of Science and Technology, Kunming; 650550, China (2) College of Light Industry and Food Science, South China University of Technology, Guangzhou; 510640, China (3) Engineering Research Center of Biopolymer Functional Materials of Yunnan, Yunnan Minzu University, Kunming; 650500, China ","Qin, Yuyue(rabbqy@163.com) ","Journal of Food Processing and Preservation","J. Food Process. Preserv.","","Blackwell Publishing Ltd","42","1","","January 2018","","","","2018","English","01458892","17454549","","","10.1111/jfpp.13362","e13362","","","","","","Journal article (JA)","A novel antimicrobial packaging system was prepared by incorporating TiO2or Ag nanoparticles into poly(lactic acid) (PLA) matrix. The effect of PLA, PLA/TiO2, and PLA/TiO2+ Ag film on the physicochemical and microbiological properties of Yunnan cottage cheese stored at 5 ± 1 °C for 25 days was investigated. The low density polyethylene (LDPE) film was used as the control. The weight loss, pH value, lactic acid bacteria count (LAB), texture, sensory quality, and antimicrobial activity were determined. Cheeses packed by PLA/TiO2and PLA/TiO2+Ag film provided better retention in pH value, LAB, sensory quality, and antimicrobial activity compared with those packed by PLA and LDPE film. Migration of Ti and Ag nanoparticles was lower than the limit of 10 mg/kg as defined by EFSA for food contact materials. The results indicated that the incorporation of TiO2or Ag nanoparticles into PLA matrix could maintain cheese quality and prolong its shelf life to 25 days. Practical applications: Yunnan cottage cheese is one of the most popular cheeses in China. However, the shelf life of unpacked Yunnan cottage cheese is only 5–7 days under refrigerated condition. PLA film incorporated with antimicrobial TiO2or Ag nanoparticles has great potential to prolong cheese shelf life. The novel packaging material may be an effective alternative for cheese preservation. © 2017 Wiley Periodicals, Inc.","38","Silver nanoparticles","Lactic acid - Metal nanoparticles - Microorganisms - Nanocomposite films - Packaging materials - pH - Titanium dioxide","Anti-microbial activity - Antimicrobial packaging - Cheese quality - Food contact material - Lactic acid bacteria - Low Density Polyethylene (LDPE) - Polylactic acids - Sensory qualities","461.9 Biology - 694.2 Packaging Materials - 712.1 Semiconducting Materials - 761 Nanotechnology - 801.1 Chemistry, General - 804.1 Organic Compounds - 804.2 Inorganic Compounds",,"Number: 21576126, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","The study was financially supported by the National Natural Science Foundation of China (No. 21576126) and Scientific Research Foundation of Yunnan Educational Commission, China (No. 1405186038).","Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Laboratory study: Simultaneous leaching silver-bearing low-grade manganese ore and sphalerite concentrate","2004338310331","Yaozhong, L. (1) ","(1) Chemistry Department, Yunnan Normal University, Kunming 650092, China ","Yaozhong, L.(lanyz2003@yahoo.com) ","Minerals Engineering","Minerals Eng","","Elsevier Ltd","17","9-10","1053-1056","September/October 2004","","","","2004","English","08926875","","","","10.1016/j.mineng.2004.05.003","","","","","","MENGEB","Journal article (JA)","Rich silver-bearing low-grade manganese ore can be found in great supply in China's Yunnan Province. This paper describes an experiment in which silver-bearing low-grade manganese and sphalerite concentrate were leached and manganese, silver and zinc recovered. First the chemical composition and mineralogical structure of silver-bearing low-grade manganese ore were determined. Then, by studying the effects of adding amounts of reducing agents and sulfuric acid as well as reaction time, the temperature and the liquid-to-solid ratio on the leaching process, optimum technological conditions were achieved. The leaching rate of manganese reached 98%. The silver in the slag was leached by adding an ammonia solution. By adding hydrazine hydrate, sponge silver with purity of up to 99% was obtained. The recovery rate of silver reached 87%. © 2004 Elsevier Ltd. All rights reserved.","5","Manganese ore treatment","Hydrazine - Leaching - Monomers - Silver - Slags - Stoichiometry - Sulfuric acid","Oxide ores - Reducing agents - Sulfide ores","804.2 Inorganic Compounds - 802.3 Chemical Operations - 801.4 Physical Chemistry - 547.1 Precious Metals - 545.3 Steel - 543.2 Manganese and Alloys - 533.1 Ore Treatment","Experimental (EXP)","Number: PY2002PY01, Acronym: -, Sponsor: Yunnan Provincial Science and Technology Department; ","The authors thank E. Janet Jamieson Ed. D, very much for her review and improvement of the manuscript. The project was supported by Yunnan Science and Technology Department contract no. PY2002PY01, 2001 HG 04.",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Simulation research on bio-purifying several gaseous pollutants by applying the adsorption biofilm theory","20074710937584","Sun, Pei-Shi ; Wang, Jie ; Sun, Yue ; Wu, Xian-Hua ; Li, Xiao-Mei ; Zhang, Wei ","(1) Institute of Environment and Lakes, Yunnan University, Kunming 650091, China (2) School of Mathematical Sciences, Peking University, Beijing 100871, China (3) Yuxi Normal College, Yuxi 653100, China (4) Department of Chemistry, Yunnan Normal University, Kunming 650092, China ","Sun, P.-S.(sunps2003@163.com) ","Wuhan Ligong Daxue Xuebao/Journal of Wuhan University of Technology","Wuhan Ligong Daxue Xuebao","","Wuhan University of Technology, Wuhan, 430070 PR, China","29","10","42-46","October 2007","","","","2007","Chinese","16714431","","","","","","","","","","","Journal article (JA)","Combined with the experiment, the simulation study on bio-purifying five kinds of gaseous pollutants, such as toluene, styrene, CS2, formaldehyde and NOx, in the tested biofilm-packing tower was performed by applying the Adsorption-Biofilm Theory. The simulation study results showed that, except formaldehyde, the Adsorption-Biofilm Theory and its kinetic model had a good suitability for describing and simulating the bio-purifying process of four gaseous pollutants-toluene, styrene, CS2 and NOx, in the tested biofilm-packing tower system. With the changing of the concentration in inlet, the purification efficiency, concentration in outlet and bio-elimination capacity were simulated for the four gaseous pollutants above respectively. The good relativity between simulated calculating data and experimental data was obtained. The interrelation coefficients were in the range of 0.92-0.99.","5",,,,,,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Face recognition based on local feature analysis","20101212787424","Qian, Zhi-Ming (1); Su, Peng-Yu (1); Xu, Dan (1) ","(1) YunNan University, China ","Qian, Z.-M.(qzhiming@126.com) ","Proceedings - International Symposium on Computer Science and Computational Technology, ISCSCT 2008","Proc. - Int. Symp. Comput. Sci. Comput. Technol., ISCSCT","'Peoples' Friendship University of Russia'; Guangdong University of Business Studies; Hunan University; Jiaxing University; National Chung Hsing University; Shanghai Institute of Electronics","IEEE Computer Society","2","","264-267","2008","Proceedings - International Symposium on Computer Science and Computational Technology, ISCSCT 2008","","","2008","English","","","","9780769534985","","4731617","International Symposium on Computer Science and Computational Technology, ISCSCT 2008","December 20, 2008 - December 22, 2008","Shanghai, China","75531","","Conference article (CA)","This paper presents a new face recognition method based on the analysis of local features. Firstly, we can get the images of magnitude by means of analyzing face images with the Gabor wavelets. Secondly, the magnitude images are divided into blocks, then principle components analysis (PCA) could be directly used to all the blocks to construct the feature space. Finally, all the blocks of images are projected to the feature space and get the face feature vectors. By counting and analyzing the feature vector, we get the recognition results. The experimental results show that this method uses the advantages of Gabor wavelets and local feature analysis (LFA), has a good recognition capability. © 2008 IEEE.","8","Face recognition","Feature extraction - Image analysis - Principal component analysis - Vector spaces","Face feature vectors - Face recognition methods - Feature space - Feature vectors - Gabor wavelets - Local feature - Local feature analysis - Principle components analysis","921 Mathematics - 922.2 Mathematical Statistics",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Visual detection of stream cipher sequences on ZUC algorithm","20180704779987","Wu, Ruoxue (1); Zheng, Jeffrey Z.J. (1); Liang, Xiaoxuan (1) ","(1) Yunnan University, Kunming; 650091, China ","Zheng, Jeffrey Z.J.(conjugatelogic@yahoo.com) ","Proceedings of Science","Proc. Sci.","","Sissa Medialab Srl","2017-July","","","2017","7th International Conference on Computer Engineering and Networks, CENet 2017","","1 of 1","2017","English","","18248039","","","","","7th International Conference on Computer Engineering and Networks, CENet 2017","July 22, 2017 - July 23, 2017","Shanghai, China","133605","","Conference article (CA)","The method of ensuring the network security was usually based on the stream cipher algorithms to encrypt the information. One way of testing the quality of a stream cipher algorithm was used NIST standard for testing. For the shortcoming of those detection methods that measure a segment of key streams, the results were not on systematic approaches. To improve these methods, a systematic measurement and visual scheme on key streams is hereby proposed, which utilizes the testing results in a more accurate manner. By transforming the data into 2D visualization maps, the results are more visible to show the random characteristics of the ZUC. © Copyright owned by the author(s) under the terms of the Creative Commons.","8","Network security","Computer networks - Data visualization - Metadata","2-D visualizations - Detection methods - NIST standards - Random characteristics - Stream Ciphers - Visual detection","723 Computer Software, Data Handling and Applications",,"Number: 61362014, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","2This work is partially supported by the National Natural Science Foundation of China (61362014). 3 Corresponding author",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Preparation and magnetic properties of Fe3O4/wood composite","20105113512191","Gao, Hong-Lin (1); Wu, Guo-Yuan (2); Zhang, Gen-Lin (1); Guan, Hong-Tao (2); Yang, Xiang-Jun (3); Lan, Yao-Zhong (1) ","(1) Research Institute of Engineering and Technology, Yunnan University, Kunming 650091, China (2) School of Physical Science and Technology, Yunnan University, Kunming 650091, China (3) School of Chemical Science and Engineering, Yunnan University, Kunming 650091, China ","Wu, G.-Y. ","Gongneng Cailiao/Journal of Functional Materials","Gongneng Cailiao","","Journal of Functional Materials, P.O. Box 1512, Chongqing, 630700, China","41","11","1900-1902+1906","November 2010","","","","2010","Chinese","10019731","","","","","","","","","","GOCAEA","Journal article (JA)","Fe3O4/wood composites were prepared by the in-situ chemosynthesis method at room temperature with Yunnan fir wood as the matrix and mixed solution of FeCl3 and FeCl2 as the impregnating solution. The structure characterized by X-ray diffraction (XRD), and scanning electron microscopy (SEM) shows that the average particle size of Fe3O4 crystal is about 14 nm, but the particles settled in the hole of wood are aggregated with the size changed to 0.5-2.5μm. Fourier transform infrared (FT-IR) analysis indicates that there exists interaction between Fe3O4 particles and the wood matrix, and the interaction influences the magnetic property of the composite. The magnetic feature was characterized by vibrating sample magnetometer (VSM). The results show that the concentration of impregnating solution and the wood fiber direction has some effects on the magnetization. It is found that the magnetization of the composite reaches to its maximum value with Fe ion concentration of 1.2 mol/L in the impregnating solution. Samples under the magnetic field with the same direction as their fiber directions have higher remain magnetization.","12","Magnetic anisotropy","Agglomeration - Fourier transforms - Magnetic fields - Magnetic materials - Magnetization - Materials properties - Scanning electron microscopy - Wood products - X ray diffraction","Average particle size - Chemo-synthesis method - Composite wood - Fiber direction - Fir wood - Fourier transform infrared - In-situ - In-situ chemosynthesis - Ion concentrations - Magnetic features - matrix - Maximum values - Mixed solution - Room temperature - SEM - Vibrating sample magnetometer - Wood composites - Wood fiber - Wood matrix","931.3 Atomic and Molecular Physics - 921.3 Mathematical Transformations - 811.2 Wood and Wood Products - 802.3 Chemical Operations - 741.1 Light/Optics - 708.4 Magnetic Materials - 701.2 Magnetism: Basic Concepts and Phenomena - 423 Non Mechanical Properties and Tests of Building Materials - 421 Strength of Building Materials; Mechanical Properties",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"The axiom definition of similarity measure between vague sets","20100712715518","Yang, Lijun (1); Wang, Lin (2) ","(1) College of Information, Yunnan University of Finance and Economics, Kunming, China (2) College of Statistics and Mathematics, Yunnan University of Finance and Economics, Kunming, China ","Wang, L.(WL64mail@yahoo.com.cn) ","6th International Conference on Fuzzy Systems and Knowledge Discovery, FSKD 2009","Int. Conf. Fuzzy Syst. Knowl. Discov., FSKD","Tianjin University of Technology","IEEE Computer Society","7","","90-92","2009","6th International Conference on Fuzzy Systems and Knowledge Discovery, FSKD 2009","","","2009","English","","","","9780769537351","10.1109/FSKD.2009.697","5359956","6th International Conference on Fuzzy Systems and Knowledge Discovery, FSKD 2009","August 14, 2009 - August 16, 2009","Tianjin, China","79367","","Conference article (CA)","In this paper, a more reasonable axiom definition of similarity measure between vague sets is proposed. At the same time, a method of similarity measure between vague sets on continuous universe of discourse is introduced. Finally, an example is given to illustrate its application. © 2009 IEEE.","10","Fuzzy systems",,"ITS applications - Similarity measure - Universe of discourse - Vague sets","961 Systems Science",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Sensing network element ontology description model for internet of things","20153201154561","Wang, Xingchao (1); An, Hongping (1); Xu, Yongyue (1); Wang, Sijun (1) ","(1) Yunnan Electronic Computing Center, Yunnan University, Kunming, China ","","Proceedings - 2015 2nd International Conference on Information Science and Control Engineering, ICISCE 2015","Proc. - Int. Conf. Inf. Sci. Control Eng., ICISCE","China Jiliang University; et al.; Tongji University; University of Hull; University of Texas at San Antonio (UTSA); Xiamen University","Institute of Electrical and Electronics Engineers Inc.","","","471-475","June 9, 2015","Proceedings - 2015 2nd International Conference on Information Science and Control Engineering, ICISCE 2015","","1of1","2015","English","","","","9781467368506","10.1109/ICISCE.2015.109","7120649","2015 2nd International Conference on Information Science and Control Engineering, ICISCE 2015","April 24, 2015 - April 26, 2015","Shanghai, China","112892","","Conference article (CA)","Internet of Things (IOT) is usually complicated and heterogeneous, in which the different sensor networks are difficult to interconnect each other, and leads to that the efficient sharing and reusing of resource is difficult to implement. Aiming at this problem, a sensing network element ontology description model for internet of thing has been proposed in this paper, in which semantics and ontology technologies are used to describe the sensing device and its capability in internet of things. Firstly, a general sensing network element ontology description framework has been built, then the primary classes and their hierarchy have been defined, and the concepts and their relationships are described. Moreover, as an emphasis, those modules and relationships which are directly related to sensor module are built. Our works will provide the semantics for sensing devices and sensory data, by which sensing network elements in internet of things can be automatically discovered and interacted. © 2015 IEEE.","9","Semantic Web","Internet of things - Ontology - Semantics - Sensor networks","Description model - Internet of Things (IOT) - Ontology technology - Sensing devices - Sensing networks - Sensor modules - Sensory data","723 Computer Software, Data Handling and Applications - 903 Information Science",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Detecting communities with different sizes for social network analysis","20153601236699","Zhou, Lihua (1); Lü, Kevin (2) ","(1) Department of Computer Science, Yunnan University, Kunming; 650091, China (2) Brunel University, Uxbridge; UB8 3PH, United Kingdom ","Lü, Kevin(kevin.lu.brunel@gmail.com) ","Computer Journal","Comput J","","Oxford University Press","58","9","1894-1908","September 29, 2014","","","","2014","English","00104620","14602067","","","10.1093/comjnl/bxu087","","","","","","CMPJA6","Journal article (JA)","Online community detection is essential for social network analysis. Modularity is a quality function used to measure the strength of the community structure discovered with social networks. Existing methods detect community structures through modularity analysis. However, the existing modularities are unable to identify community structures correctly when communities are very different in size, in particular, when the size of some communities is very small compared with others. To address this problem, we propose the concept of a coupling coefficient between two communities and define a new modularity, MC modularity, to evaluate the quality of the discovered community structures. This method can provide adequate measures for the quality of community structures. In addition, we develop the DC-MC algorithm to detect community structures based on the concept of MC modularity. An algorithm for shifting a group of nodes, instead of one node at a time, amongst communities also is designed to achieve optimal results. The effectiveness and efficacy of the approach we proposed have been demonstrated through a set of experiments involving real data benchmarks and synthetic data sets that are purpose-built for evaluating different types of networks. © 2014 The British Computer Society. All rights reserved.","26","Quality control","Population dynamics - Social networking (online)","Community detection - Community structures - Coupling coefficient - Different sizes - modularity - On-line communities - Optimal results - Synthetic datasets","723 Computer Software, Data Handling and Applications - 913.3 Quality Assurance and Control - 971 Social Sciences",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Effect of Concrete Creep on the displacement of single tower single cable plane Extradosed Cable-stayed Bridge","20181705041197","Shi, Jing-Xian (1); Ran, Zhi-Hong (2) ","(1) Oxbridge College, Kunming University of Science and Technology, KunMing; 650106, China (2) Yunnan University, KunMing; 650106, China ","","IOP Conference Series: Earth and Environmental Science","IOP Conf. Ser. Earth Environ. Sci.","","Institute of Physics Publishing","128","1","","March 26, 2018","3rd International Conference on Energy Equipment Science and Engineering, ICEESE 2017","","1 of 1","2018","English","17551307","17551315","","","10.1088/1755-1315/128/1/012091","012091","2017 3rd International Conference on Energy Equipment Science and Engineering, ICEESE 2017","December 28, 2017 - December 31, 2017","Beijing, China","135642","","Conference article (CA)","Extradossed Cable-stayed Bridge is both cable-stayed Bridge and Continuous rigid frame bridge mechanics feature, Beam is the main force components, cable is supplement.This article combined with a single tower and single cable plane Extradossed cable-stayed bridge in Yunnan, use different creep calculation models and analysis deflection caused by creep effects. The results showing that deflection caused by creep effect is smaller than the same span continuous rigid frame bridge, the value is about 2cm. On the other hand the deflection is increasing with ambient humidity decreases, therefore in the dry environment the calculation model is relatively large in the pre-camber. In the choice of RC creep model is significant in the dry areas. © Published under licence by IOP Publishing Ltd.","10","Cable stayed bridges","Cables - Creep - Rigidity","Ambient humidity - Calculation models - Concrete creep - Continuous rigid frame bridges - Creep calculations - Dry environment - Extradosed cable-stayed bridges - Force component","401.1 Bridges - 951 Materials Science",,,,"Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Multi-focus image fusion using cross bilateral filter in NSCT domain","20182305284489","Liu, Dong (1); Zhou, Dongming (1); Nie, Rencan (1); Hou, Ruichao (1) ","(1) Information College, Yunnan University, Kunming; 650504, China ","","ACM International Conference Proceeding Series","ACM Int. Conf. Proc. Ser.","University of Electronic Science and Technology of China; Wuhan University","Association for Computing Machinery","","","105-109","March 16, 2018","ICMIP 2018 - Proceedings of 2018 the 3rd International Conference on Multimedia and Image Processing","","1 of 1","2018","English","","","","9781450364683","10.1145/3195588.3195607","","3rd International Conference on Multimedia and Image Processing, ICMIP 2018","March 16, 2018 - March 18, 2018","Guiyang, China","136384","","Conference article (CA)","Given that the edge details of the image are not well extracted into the fused image, the cross bilateral filter (CBF) which considers both gray level similarities and geometric closeness of the neighboring pixels without smoothing edges is combined with non-subsampled contourlet transform (NSCT) in this paper for multi-focus image fusion. Firstly, the source images are decomposed into low frequency coefficients map and high frequency coefficients map through NSCT. Then the low frequency coefficients will be fused by Sum-Modified-Laplacian (SML) and the fused high frequency coefficient are obtained using CBF, and the high frequency fusion rule is a weighted average method using the weights computed from the detail images that are extracted from the two high frequency coefficient maps. Finally, the inverse NSCT is utilized to get the fused image in which all the objects are clear. At the end of this paper, in order to compare with some traditional fusion methods, some experimental results are displayed to show the superiority of this method. © 2018 Association for Computing Machinery.","19","Image fusion","Bandpass filters - Image processing - Inverse problems - Mathematical transformations - Nonlinear filtering","Cross-bilateral filters - Detail image - High frequency HF - Multifocus image fusion - Non subsampled contourlet transform (NSCT) - NSCT - Sum-Modified-Laplacian - Weighted average method","703.2 Electric Filters - 716.1 Information Theory and Signal Processing - 723.2 Data Processing and Image Processing - 921.3 Mathematical Transformations",,"Number: 61365001, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 61463052, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","The authors(였 work is supported by the National Natural Science Foundation of China (no. 61463052 and no. 61365001).",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Nonlinear vibration with Volterra series method used in civil engineering: The Bouc - Wen hysteresis model of generalized frequency response","20141217498266","Ran, Qing (1); Xiao, Mei Ling (1); Hu, Yue Xin (1) ","(1) Yunnan University, China ","Ran, Q.(909300448@qq.com) ","Applied Mechanics and Materials","Appl. Mech. Mater.","","Trans Tech Publications","530-531","","561-566","2014","Advances in Measurements and Information Technologies","","","2014","English","16609336","16627482","","9783038350392","10.4028/www.scientific.net/AMM.530-531.561","","2014 International Conference on Sensors Instrument and Information Technology, ICSIIT 2014","January 18, 2014 - January 19, 2014","Guangzhou, China","103218","","Conference article (CA)","Volterra series take important role in nonlinear vibration analysis. For material hysteresis, it is proposed Bouc-Wen model to estimate frequency response function by using Volterra series in this paper: first, the component of hysteretic linear parameters was identified, then complex function was calculated, finally the differential equation of hysteretic systems was solved based on Harmonic detection method. It is not only for fast-identifying system parameters, but also providing for nonlinear seismic response. © (2014) Trans Tech Publications, Switzerland.","12","Hysteresis","Civil engineering - Differential equations - Frequency response - Functions - Information technology - Vibration analysis","Frequency response functions - Generalized frequency response functions - Hysteresis system - Non-linear vibrations - Nonlinear seismic response - Nonlinear vibration analysis - Volterra Series - Volterra series methods","409 Civil Engineering, General - 731.1 Control Systems - 903 Information Science - 921 Mathematics - 921.2 Calculus - 943.2 Mechanical Variables Measurements - 961 Systems Science",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"The making of mathematical models for ecological cities","20143418083081","Xu, Ying (1) ","(1) Yunnan University, Kunming City 650091, China ","Xu, Y.(xuying2013@yeah.net) ","Advanced Materials Research","Adv. Mater. Res.","Computer Science and Electronic Technology; Inst. of Mechatronics Eng., Tianjin Univ. of Technol. and Educ.; Trans Tech Publications inc.","Trans Tech Publications Ltd","989-994","","1127-1130","2014","Materials Science, Computer and Information Technology","","","2014","English","10226680","16628985","","9783038351733","10.4028/www.scientific.net/AMR.989-994.1127","","4th International Conference on Materials Science and Information Technology, MSIT 2014","June 14, 2014 - June 15, 2014","Tianjin, China","106909","","Conference article (CA)","Ecological city, in a broad sense, is a new cultural notion based on mankind's profound understanding of the relationship between human and nature, new-type social relationship in accord with ecological rules which coordinate society, economy and nature, and also a sustainable lifestyle. In a narrow sense, ecological city is a highly effective, harmonious and healthy environment where people gather. This passage will clarify the definition ecological city and comprehensively depict the systematic model and index system in current ecological cities. A new mathematical model, related theories and calculation as well as its significance are to be mentioned. © (2014) Trans Tech Publications, Switzerland.","4","Ecology","Mathematical models","Ecological city - Healthy environments - Index systems - New mathematical model - Social relationships - Systematic modeling","454.3 Ecology and Ecosystems - 921 Mathematics",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
