Title,Accession number,Author,Author affiliation,Corresponding author,Source,Abbreviated source title,Sponsor,Publisher,Volume,Issue,Pages,Issue date,Monograph title,Volume title,Part number,Publication year,Language,ISSN,E-ISSN,ISBN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Conference code,CODEN,Document type,Abstract,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Treatment,Funding details,Funding text,Access type,Database,Copyright,Data Provider
"Response of the toxic cyanobacterium Microcystis aeruginosa to bacteria signaling molecules AHLs-change of volatile components production","20133516682957","Wei, Jin Ya (1); Li, Shui Bing (1); Xu, Zhong Xiu (1); Han, Xiao (1); Yang, Ming Zhi (1); Chen, Xiao Lan (1) ","(1) School of Life Science, Yunnan University, Kunming, Yunnan Province, China ","Chen, X. L.(xlch6975@yahoo.com.cn) ","Advanced Materials Research","Adv. Mater. Res.","","Trans Tech Publications Ltd, Kreuzstrasse 10, Zurich-Durnten, CH-8635, Switzerland","718-720","","255-260","2013","Advanced Measurement and Test III","","","2013","English","10226680","","","9783037857168","10.4028/www.scientific.net/AMR.718-720.255","","2013 3rd International Conference on Advanced Measurement and Test, AMT 2013","March 13, 2013 - March 14, 2013","Xiamen, China","99019","","Conference article (CA)","N-acyl homoserine-lactones (AHLs) are essential bacteria signaling molecules which regulate many physiological behaviors of Gram-negativebacteria. Previous studies have shown that AHLs can affect the growth and primary physiological processes of the bloom-forming cyanobacterium Microcystisaeruginosa. The aim of this study was to examine whether and how the presence of AHLs substances may affect the release of volatile chemicals of M. aeruginosa. Hydrodistillation and GC-MS were used to extract and analysis the volatile components of cells in exponential and stationary growth stage in normal growth condition and cells in exponential stage with additional AHLs. The results demonstrated that allelopathic chemicals existing in the stationary phase were induced and released when AHLs was added into the culture of cells in exponential phase, which indicated that AHLs may play role in growth state transition and interspecific competition in M. aeruginosavia regulation of production and release of volatile chemicals. © (2013) Trans Tech Publications, Switzerland.","18","Bacteria","Cell culture - Chemicals - Molecules - Physiology","AHLs - Inter-specific competitions - Microcystis aeruginosa - Physiological process - Signaling molecules - Toxic cyanobacterium - Volatile chemicals - Volatile components","461.8 Biotechnology - 461.9 Biology - 803 Chemical Agents and Basic Industrial Chemicals - 804 Chemical Products Generally - 931.3 Atomic and Molecular Physics",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"A DFT study of the effect of natural impurities on the electronic structure of sphalerite","20131516189125","Jiang, Dengbang (1); Deng, Wen (1); Lan, Yaozhong (1) ","(1) School of Engineering of Yunnan University, Kunming 650091, China ","Jiang, D.(715219300@qq.com) ","Advanced Materials Research","Adv. Mater. Res.","Chinese Society of MironanoTechnology; IEEE Nanotechnology Council","Trans Tech Publications, P.O. Box 1254, Clausthal-Zellerfeld, D-38670, Germany","669","","39-45","2013","Leading Edge of Micro-Nano Science and Technology","","","2013","English","10226680","","","9783037856291","10.4028/www.scientific.net/AMR.669.39","","11th China International Nanoscience and Technology Symposium, CINST 2012","October 21, 2012 - October 25, 2012","Kunming, China","96384","","Conference article (CA)","The electronic and reaction properties of natural sphalerite containing seven typical kinds of impurities is studied by the density-functional theory (DFT). Mn and Ga impurities result in the Mulliken charge of the Zn atom reduced and consequently might decrease the ionicity of sphalerite; while Fe, Cd, In, Ge and Tl impurities lead to the increase in the Mulliken charge of the Zn atom. The frontier orbital calculations show that Mn impurities might lead to the over-oxidization of sphalerite, which may cause the further oxidation of lead xanthate, and thus are unfavorable for the flotation of sphalerite. © (2013) Trans Tech Publications, Switzerland.","14","Zinc sulfide","Density functional theory - Electronic properties - Electronic structure - Flotation - Germanium - Manganese - Zinc - Zinc alloys","DFT study - Ionicities - Lead xanthate - Mn impurity - Mulliken charges - Reaction property - Sphalerite - Zn atoms","922.1 Probability Theory - 804.2 Inorganic Compounds - 804 Chemical Products Generally - 931.1 Mechanics - 701.1 Electricity: Basic Concepts and Phenomena - 543.2 Manganese and Alloys - 533.1 Ore Treatment - 546.3 Zinc and Alloys",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"The effect of arsenic removal of high arsenic spring water","20131116123505","Yanan, Liu (1); Zhihui, Liu (1); Juan, Wang (1); Shu, Zhang (1) ","(1) Institute of Engineering Technology, Yunnan University, Kunming, China ","Yanan, L. ","Hydraulic Engineering - Proceedings of the 2012 SREE Conference on Hydraulic Engineering, CHE 2012 and 2nd SREE Workshop on Environment and Safety Engineering, WESE 2012","Hydraul. Eng. - Proc. SREE Conf. Hydraul. Eng., CHE SREE Workshop Environ. Saf. Eng., WESE","Society for Resources, Environment and Engineering (SREE)","CRC Press/Balkema","","","275-280","2013","Hydraulic Engineering - Proceedings of the 2012 SREE Conference on Hydraulic Engineering, CHE 2012 and 2nd SREE Workshop on Environment and Safety Engineering, WESE 2012","","","2013","English","","","","9781138000438","","","2012 SREE Conference on Hydraulic Engineering, CHE 2012 and 2nd SREE Workshop on Environment and Safety Engineering, WESE 2012","December 21, 2012 - December 22, 2012","Hong Kong, Hong kong","95984","","Conference article (CA)","High arsenic hot spring water samples are processed by precipitation and flocculation in this article, arming to reduce the arsenic content. Flocculant was 1.50% FeCl3 solution in the experiment, arsenic removal rate is up to 98.19%. Through experimental analysis, while the ratio of hot spring water samples and flocculant is 100:1, hot spring water can reach II Grade; experiments show that the effect of arsenic removal in water samples is not obvious in the range of 30°C∼60°C. Water arsenic concentration can be controllable and adjustable by this method. © 2013 Taylor & Francis Group.","16","Chemicals removal (water treatment)","Arsenic - Chlorine compounds - Flocculation - Groundwater - Hot springs - Hydraulic structures - Hydraulics - Iron compounds - Pollution control - Safety engineering - Shore protection","Arsenic concentration - Arsenic content - Arsenic removal - Experimental analysis - Hot spring water - Spring water - Water samples","407.1 Maritime Structures - 444.2 Groundwater - 481.3.1 Geothermal Phenomena - 632.1 Hydraulics - 802.3 Chemical Operations - 804 Chemical Products Generally - 914 Safety Engineering",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Fuzzy keyword search with safe index over encrypted cloud computing","20134016810300","Liu, Lixi (1); Zhang, Chi (1); Yao, Shaowen (1); Wang, Shipu (1); Zhou, Wei (1) ","(1) National Software School of YunNan University, Yunnan, China ","Zhou, W.(wz.weizhou@gmail.com) ","Telkomnika - Indonesian Journal of Electrical Engineering","Telkomnika Indonesian J. Elect. Eng.","","Universitas Ahmad Dahlan, Jalan Kapas 9, Semaki, Umbul Harjo,, Yogiakarta, 55165, Indonesia","11","10","5884-5889","2013","","","","2013","English","23024046","2087278X","","","","","","","","","","Journal article (JA)","As cloud computing becomes more and more utilized, sensitive data are being stored in cloud central servers. To ensure privacy, these data are usually encrypted before uploading, which makes searching complicated. In this paper we propose architecture of fuzzy keyword search with safe index. Bloom filter is used to build safe index which increases the searching effectiveness on a large dataset. The size of index is fixed so that the space efficiency is promoted. The experiment result shows that our searching scheme is effective and can be adapted to large encrypted file system. © 2013 Universitas Ahmad Dahlan.","10","Cryptography","Cloud computing - Data structures - Search engines","Bloom filters - Central servers - Encrypted File System - Fuzzy keyword - Safe index - Searching effectiveness - Sensitive datas - Space efficiencies","722.4 Digital Computers and Systems - 723 Computer Software, Data Handling and Applications",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"A novel downlink handover priority scheduling algorithm for providing seamless mobility and QoS in IEEE802.16e BWA system.","20091712050425","Fehri, Hamed (1); Chitizadeh, Jalil (1); Yaghmaee, Mohammad H. (2) ","(1) Electrical Engineering Department, Ferdowsi University of Mashhad, Iran (2) Computer Engineering Department, Ferdowsi University of Mashhad, Iran ","Fehri, H.(hamed.fehri@gmail.com) ","Proceedings - 2009 WRI International Conference on Communications and Mobile Computing, CMC 2009","Proc. - WRI Int. Conf. Commun. Mob. Comput., CMC","","IEEE Computer Society","3","","227-231","2009","Proceedings - 2009 WRI International Conference on Communications and Mobile Computing, CMC 2009","","","2009","English","","","","9780769535012","10.1109/CMC.2009.323","4797252","2009 WRI International Conference on Communications and Mobile Computing, CMC 2009","January 6, 2009 - January 8, 2009","Kunming, Yunnan, China","75846","","Conference article (CA)","Abstract In IEEE 802.16e wireless metropolitan area networks, users could take their broadband connections with them as they move from one location to another with different speeds. Providing QoS is more challenging for mobile subscribers at vehicular speeds than for others. On the other hand, time variability and unpredictability of the wireless channel may cause QoS degradation for these users. Therefore, providing seamless handovers especially at vehicular speeds is necessary for maintaining QoS. This paper proposes a new downlink handover priority scheduling algorithm for different scheduling services which is providing lossless handovers and QoS. Taking the power degradation rates into consideration, this algorithm assigns higher priority to the users who have higher speeds. A priority based AMC (Adaptive Modulation and Coding) is also performed for better performance. The analysis results show the efficiency of proposed scheme. © 2009 IEEE.","8","Scheduling algorithms","Degradation - IEEE Standards - Metropolitan area networks - Mobile computing","Adaptive modulation and coding - Broadband connection - Mobile subscribers - Power degradation - Scheduling service - Seamless mobility - Wireless channel - Wireless metropolitan area networks","802.2 Chemical Reactions",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Implementation of program behavior anomaly detection and protection using Hook technology","20091712050443","Shen, Jianfang (1); Cheng, Lianglun (2); Fu, Xiufen (1) ","(1) Faculty of Computer, Guangdong University of Technology, Guangzhou, 510006, China (2) Faculty of Automation, Guangdong University of Technology, Guangzhou, 510006, China ","Shen, J. ","Proceedings - 2009 WRI International Conference on Communications and Mobile Computing, CMC 2009","Proc. - WRI Int. Conf. Commun. Mob. Comput., CMC","","IEEE Computer Society","3","","338-342","2009","Proceedings - 2009 WRI International Conference on Communications and Mobile Computing, CMC 2009","","","2009","English","","","","9780769535012","10.1109/CMC.2009.225","4797273","2009 WRI International Conference on Communications and Mobile Computing, CMC 2009","January 6, 2009 - January 8, 2009","Kunming, Yunnan, China","75846","","Conference article (CA)","Windows is an operating system based on message which is built on event driven mechanism. Hook is one of surveillance point of message processing mechanism in Windows system. In this paper using Windows kernel technology, using Hook Service Table to replace Native's API, detect process and thread behavior, and realize detection and protection of registry and file and process. A program behavior anomaly detection and protection system is designed and implemented in Windows operating system. Hook and some key techniques of Hook are introduced, system frame and key technology of this system. At last, the experimental result validated the feasibility and availability of this system. © 2009 IEEE.","4","Windows operating system","Anomaly detection - Mobile computing","Event driven mechanisms - Hook technology - Key technologies - Message processing - Program behavior - Protection systems - System frame - Windows system","723 Computer Software, Data Handling and Applications",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Preface","20170503315018","Zhang, Lu (1); Xu, Chang (2) ","(1) School of Electronics Engineering and Computer Science, Peking University, Beijing, China (2) State Key Laboratory for Novel Software Technology and Department of Computer Science and Technology, Nanjing University, Nanjing; Jiangsu, China ","","Communications in Computer and Information Science","Commun. Comput. Info. Sci.","","Springer Verlag","675","","V","2016","Software Engineering and Methodology for Emerging Domains - 15th National Software Application Conference, NASAC 2016","","","2016","English","18650929","","","9789811034817","10.1007/978-981-10-3482-4","","15th National Software Application Conference, NASAC 2016","November 3, 2016 - November 5, 2016","Kunming, Yunnan, China","188539","","Journal article (JA)","",,,,,,,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Jute-based porous biomass carbon composited by Fe3O4 nanoparticles as an excellent microwave absorber","20192707146053","Wang, Lihong (1, 2); Guan, Hongtao (1); Hu, Jianqiao (1); Huang, Q. (1); Dong, Chengjun (1); Qian, Wei (1); Wang, Yude (1, 3) ","(1) School of Materials Science and Engineering, Yunnan University, Kunming; 650091, China (2) Department of Physics, Yunnan University, Kunming; 650091, China (3) Key Lab of Quantum Information of Yunnan Province, Yunnan University, Kunming; 650091, China ","Wang, Yude(ydwang@ynu.edu.cn) ","Journal of Alloys and Compounds","J Alloys Compd","","Elsevier Ltd","803","","1119-1126","30 September 2019","","","","2019","English","09258388","","","","10.1016/j.jallcom.2019.06.351","","","","","","JALCEU","Journal article (JA)","Porous jute biomass carbon (PJBC) composited by Fe3O4 nanoparticles were successfully prepared by a chemical coprecipitation method at a low temperature of 60 °C, which is very simple to prepare a high degree of purity of Fe3O4 nanoparticles. The structure, morphology, and microwave absorption performances of the Fe3O4/PJBC composites were investigated in detail. Due to the porous structure and large interfaces between Fe3O4 and PJBC, the Fe3O4/PJBC composites show excellent microwave absorption performances. The minimum reflection loss (RL) value of −39.5 dB is obtained for the Fe3O4/PJBC composites at the frequency of 6.4 GHz. When the thickness is only 1.6 mm, an effective absorption bandwidth (RL ≤ −10 dB) for 5 GHz is achieved from 13.8 to 17.8 GHz. The excellent microwave absorption performances for the Fe3O4/PJBC composites are rooted in enhanced impedance matching, large interfaces, ionic polarization, eddy loss, natural resonance, and multiple reflection and scattering. Consequently, considering market applications and the cost, the Fe3O4/PJBC composite in this work can be a promising candidate for microwave absorber. © 2019 Elsevier B.V.","62","Iron oxides","Biomass - Coprecipitation - Dielectric losses - Interfaces (materials) - Magnetite - Microwaves - Nanoparticles - Temperature","Chemical coprecipitation method - Effective absorption - Fe3O4 nanoparticles - Ionic polarization - Market applications - Microwave absorbers - Microwave absorption - Multiple reflections","641.1 Thermodynamics - 708.1 Dielectric Materials - 711 Electromagnetic Waves - 761 Nanotechnology - 802.3 Chemical Operations - 804.2 Inorganic Compounds - 933 Solid State Physics - 951 Materials Science",,"Number: NO· 2019FB-13, Acronym: -, Sponsor: Yunnan Provincial Science and Technology Department; Number: 201804004, Acronym: -, Sponsor: -; Number: -, Acronym: -, Sponsor: Guangdong Innovative and Entrepreneurial Research Team Program; Number: 2019J0002, Acronym: -, Sponsor: Scientific Research Foundation of Hunan Provincial Education Department; Number: 61761047, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","This work was supported by the Department of Science and Technology of Yunnan Province via the Project (Grant NO&middot; 2019FB-13 ) and Key Project (Grant No. 2017FA025 ) for the Science and Technology, National Natural Science Foundation of China (No. 61761047 and 41876055 ), Scientific Research Foundation of Yunnan Education Department (No. 2019J0002 ), Innovation and Entrepreneurship Training Project of Yunnan University (No. 201804004 ) and Program for Innovative Research Team (in Science and Technology) in University of Yunnan Province. Appendix A",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"The synthesis of amphiphilic pillar[5]arene functionalized reduced graphene oxide and its application as novel fluorescence sensing platform for the determination of acetaminophen","20170603323170","Zhao, Genfu (1); Yang, Long (1); Wu, Shilian (1); Zhao, Hui (2); Tang, E. (1, 3); Li, Can-Peng (1, 3) ","(1) School of Chemical Science and Technology, Yunnan University, Kunming; 650091, China (2) State Key Laboratory for Conservation and Utilization of Bio-Resources in Yunnan, Yunnan University, Kunming; 650091, China (3) Key Laboratory of Medicinal Chemistry for Natural Resource, Ministry of Education Yunnan University, Kunming; 650091, China ","Zhao, Hui(zhaohui@ynu.edu.cn) ","Biosensors and Bioelectronics","Biosens. Bioelectron.","","Elsevier Ltd","91","","863-869","May 15, 2017","","","","2017","English","09565663","18734235","","","10.1016/j.bios.2017.01.053","","","","","","BBIOE4","Journal article (JA)","A sensitive and selective fluorescence approach based on a competitive host–guest interaction between amphiphilic pillar[5]arene (amPA5) and signal probe (acridine orange, AO)/target molecule (acetaminophen, AP) was developed by using amPA5 functionalized reduced graphene oxide (amPA5-RGO) as a receptor. Due to the host–guest interaction, AO and AP molecules both can enter into the hydrophobic inner cavity of amPA5 that could form a complex of 1:1 guest–host with amPA5 according to the size of molecules and the cavity of amPA5, but the AP interacts more strongly with amPA5 than with AO, so it can detect AP by the host-guest competition. The low detection limit of 0.05 μM (S/N=3) and a linear response range of 0.1–4.0 μM and 4.0–32 μM for AP was obtained by using this method. It had lower detection limit and wider linear range than other methods, therefore, it was successfully utilized to detect AP in serum samples, and exhibited a promising application in practice. The molecular docking studies indicated that the major driving forces for the formation of the inclusion complex of AP and amPA5 are hydrogen bonding, π-π interactions, and hydrophobic interactions. © 2017 Elsevier B.V.","25","Graphene","Fluorescence - Hydrogen bonds - Hydrophobicity - Molecules","Acetaminophen - Amphiphilics - Fluorescence sensing - Hydrophobic interactions - Linear response range - Lower detection limit - Reduced graphene oxides - Selective fluorescence","741.1 Light/Optics - 761 Nanotechnology - 801.4 Physical Chemistry - 804 Chemical Products Generally - 931.2 Physical Properties of Gases, Liquids and Solids - 931.3 Atomic and Molecular Physics",,"Number: WX069051, Acronym: YNU, Sponsor: Yunnan University; Number: 21565029, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","This work was financially supported by the National Natural Science Foundation of China (21565029) and the Program for Excellent Young Talents, Yunnan University (WX069051).",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Ni3S2@Ni foam 3D electrode prepared via chemical corrosion by sodium sulfide and using in hydrazine electro-oxidation","20163402730368","Liu, Xu (1); Li, Yuxiu (1); N., Chen; D., Deng; X., Xing; Y., Wang ","(1) School of Materials Science and Engineering, Yunnan University, Kunming; 650091, China (2) Department of Physics, Yunnan University, Kunming; 650091, China (3) Yunnan Province Key Lab of Micro-Nano Materials and Technology, Yunnan University, Kunming; 650091, China ","Wang, Yude(ydwang@ynu.edu.cn) ","Electrochimica Acta","Electrochim Acta","","Elsevier Ltd","213","","730-739","September 20, 2016","","","","2016","English","00134686","","","","10.1016/j.electacta.2016.08.009","","","","","","ELCAAV","Journal article (JA)","Hydrazine electro-oxidation takes an important role in direct hydrazine fuel cells (DHFCs) and hydrazine electrochemical sensor, but the high cost of precious metal electrode hinders the practical applications of hydrazine electro-oxidation. In this study, an inexpensive 3D electrode of Ni3S2@Ni foam was obtained through a hydrothermal condition using sodium sulfide as corrodent and Ni foam as both substrate and Ni source. The formation mechanism of this Ni3S2layer was studied through a process analysis based on physical chemistry with assistant of the results from characterizations. The obtained Ni3S2@Ni foam was used as electrode to test its hydrazine electro-oxidation properties in terms of DHFCs and electrochemical sensor. It is found Ni3S2@Ni foam possesses the ability to electro-oxidize hydrazine and Ni3S2layer leads to increased activity including lower onset potential and higher current. In the aspect of hydrazine electrochemical sensor, the fabricated Ni3S2layer leads to increased sensitivity and dynamic response property. The results indicate that as-prepared Ni3S2@Ni foam possesses a potential for practical application in hydrazine electro-oxidation, and Ni3S2is a very promising substitute material for noble metals in hydrazine electro-oxidation. At the same time, with the characterization of the as-prepared Ni3S2@Ni foam electrode on structure, morphology and surface chemical states, the mechanism of the corrosion method as well as enhanced properties were investigated. © 2016 Elsevier Ltd","50","Electrochemical electrodes","Chemical analysis - Corrosion - Electrochemical sensors - Electrooxidation - Fuel cells - Hydrazine - Nickel - Nickel compounds - Oxidation - Physical chemistry - Precious metals - Sensors - Sodium sulfide - Sulfur compounds","Direct hydrazine fuel cells - Electro-oxidation properties - Enhanced properties - Hydrothermal conditions - Ni3S2 - Nickel foam - Response properties - Surface chemical state","547.1 Precious Metals - 548.1 Nickel - 702.2 Fuel Cells - 801 Chemistry - 801.4 Physical Chemistry - 802.2 Chemical Reactions - 804.2 Inorganic Compounds",,"Number: XT412003, Acronym: YNU, Sponsor: Yunnan University; Number: 51262029, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","This work was supported by National Natural Science Foundation of China (Grant No. 51262029) and Program for Excellent Young Talents, Yunnan University (XT412003). Appendix A",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"A relay-assisted transmission technique for multihop TDD-CDMA networks","20091712046762","Meng, Qingmin (1, 2); Wang, Yan (2); You, Xiaohu (2); Zheng, Baoyu (1) ","(1) Institute of Signal and Transmission, Nanjing University of Posts and Telecommunications, Nanjing, 210003, China (2) National Mobile Communications Research Lab., Southeast University, Nanjing 210096, China ","Meng, Q.(mengqm@njupt.edu.cn) ","Proceedings - 2009 WRI International Conference on Communications and Mobile Computing, CMC 2009","Proc. - WRI Int. Conf. Commun. Mob. Comput., CMC","World Research Institutes","IEEE Computer Society","1","","224-228","2009","Proceedings - 2009 WRI International Conference on Communications and Mobile Computing, CMC 2009","","","2009","English","","","","9780769535012","10.1109/CMC.2009.211","4796990","2009 WRI International Conference on Communications and Mobile Computing, CMC 2009","January 6, 2009 - January 8, 2009","Kunming, Yunnan, China","75844","","Conference article (CA)","Compensation for near-far effects is critical for error performance of a direct sequence code-division multiple-access system. In this paper, we attempt to explore the potential of cooperative relaying to overcome fading and near-far effect in a wideband multihop time-division duplex CDMA (TDD-CDMA) system. A simple adaptive successive interference cancellation scheme in combination with a simple power control is presented for a two-user one-relay multihop cooperative network. Numerical results show that a significant bit error rate performance improvement can be achieved over the direct transmission while both the SIC at each receive user and the power control at the stronger transmit user are considered. © 2009 IEEE.","11","Code division multiple access","Adaptive control systems - Bit error rate - Error compensation - Mobile computing - Power control - Time division multiplexing","Bit error rate (BER) performance - Cooperative relaying - Direct sequence code division multiple access systems - Error performance - Multi-hop cooperative - Relay-assisted transmissions - Successive interference cancellations - Time division duplex CDMA","723.1 Computer Programming - 731.1 Control Systems - 731.3 Specific Variables Control",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Subdividing hexagon-clustered wireless sensor networks for power-efficiency","20091712050351","Wang, Dajin (1); Xu, Li (2); Peng, Jing (1); Robila, Stefan (1) ","(1) Department of Computer Science, Montclair State University, Upper Montclair, NJ 07043, United States (2) School of Mathematical and Computer Science, Fujian Normal University, Fuzhou, China ","Wang, D.(wangd@mail.montclair.edu) ","Proceedings - 2009 WRI International Conference on Communications and Mobile Computing, CMC 2009","Proc. - WRI Int. Conf. Commun. Mob. Comput., CMC","","IEEE Computer Society","2","","454-458","2009","Proceedings - 2009 WRI International Conference on Communications and Mobile Computing, CMC 2009","","","2009","English","","","","9780769535012","10.1109/CMC.2009.317","4797165","2009 WRI International Conference on Communications and Mobile Computing, CMC 2009","January 6, 2009 - January 8, 2009","Kunming, Yunnan, China","75845","","Conference article (CA)","Hexagons are an ideal shape for clustering sensor networks, because clustered areas can be seamlessly divided by the hexagons. In addition, hexagons are the largest regular polygon (in terms of the number of sides) that has this property. In this paper, we propose a novel scheme for subdividing a hexagonal cluster where sensors are densely populated and distributed uniformly throughout the cluster. We provide an analytical estimate of power saving resulting from the subdivision, and show that our proposal gives rise to a substantial reduction in power consumption. We also perform subdivisions at various scales, and analyze the corresponding power saving patterns. Our results show that the proposed scheme will yield significant saving in overall power consumption of a cluster, and the deeper the subdivision, the less the power consumption. © 2009 IEEE.","8","Wireless sensor networks","Electric power utilization - Mobile computing","Analytical estimates - Clustered wireless sensor networks - Power efficiency - Power savings - Regular polygon - Substantial reduction","706.1 Electric Power Systems - 716.3 Radio Systems and Equipment",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Contributions of climate variability and human activities to runoff changes in the upper catchment of the red River Basin, China","20164202915106","Li, Yungang (1, 2); He, Daming (1, 2); Li, Xue (2); Zhang, Yueyuan (2); Yang, Liyan (2) ","(1) Yunnan Key Laboratory of International Rivers and Transboundary Eco-Security, Yunnan University, Kunming; 650091, China (2) Asian International Rivers Center, Yunnan University, Kunming; 650091, China ","He, Daming(dmhe@ynu.edu.cn) ","Water (Switzerland)","Water","","MDPI AG, Postfach, Basel, CH-4005, Switzerland","8","9","","September 21, 2016","","","","2016","English","","20734441","","","10.3390/w8090414","414","","","","","","Journal article (JA)","Quantifying the effects of climate variability and human activities on runoff changes will contribute to regional water resource planning and management. This study aims to separate the effects of climate variability and human activities on runoff changes in the upper catchment of the Red River Basin in China. The Mann-Kendall test and Pettitt's test methods were applied to identify the trends and change points of the hydro-meteorological variables. The hydrological sensitivity, climate elasticity and hydrological simulation methods were adopted to estimate the contributions of climate variability and human activities to runoff changes. Results showed that annual runoff significantly decreased by 1.57 mm/year during the period of 1961-2012. A change point in annual runoff coefficient occurred in 2002. Accordingly, the annual runoff series were divided into the baseline period (1961-2002) and the impacted period (2003-2012). Mean annual runoff of the impacted period decreased by 29.13% compared with the baseline period. Similar estimates of the contributions of climate variability and human activities were obtained by the three different methods. Climate variability was estimated to be responsible for 69%-71% of the reduction in annual runoff, and human activities accounted for 29%-31%. Climate variability was the main driving factor for runoff decrease in the catchment. © 2016 by the authors.","55","Climate change","Catchments - Elasticity - Human resource management - Rivers - Runoff - Testing - Watersheds","Climate variability - Human activities - Hydrological sensitivity - Hydrological simulations - Red River - Runoff changes","443.1 Atmospheric Properties - 444.1 Surface Water - 912.2 Management",,"Number: 2016YFA0601601, Acronym: -, Sponsor: -; Number: 41301099, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","This work was funded by the National Natural Science Foundation of China (Grant 41301099), and the National Key Research and Development Program of China (Grant 2016YFA0601601). We are very grateful to the editors and anonymous reviewers for their valuable comments, which greatly improved the quality of the paper.","Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"GASA-Hop Localization algorithm for wireless sensor networks","20091712050295","Shijun, Zhao (1, 2); Meiling, Sun (1); Zhaohui, Zhang (1) ","(1) Dept. of Information Engineering, University of Science and Technology Beijing, Beijing, China (2) Dept. of Computer and Communication Engineering, China University of Petroleum, Shandong, China ","Shijun, Z.(zsjemail@163.com) ","Proceedings - 2009 WRI International Conference on Communications and Mobile Computing, CMC 2009","Proc. - WRI Int. Conf. Commun. Mob. Comput., CMC","","IEEE Computer Society","2","","152-156","2009","Proceedings - 2009 WRI International Conference on Communications and Mobile Computing, CMC 2009","","","2009","English","","","","9780769535012","10.1109/CMC.2009.43","4797106","2009 WRI International Conference on Communications and Mobile Computing, CMC 2009","January 6, 2009 - January 8, 2009","Kunming, Yunnan, China","75845","","Conference article (CA)","Wireless sensor networks are highly useful for many location-sensitive applications. The position of each node is assumed in most wireless sensor networks, which can make the sensed information meaningful. Finding position without GPS is important when GPS is not accessible or not practical to use. Typically, with the positions of only a few sensors predetermined, localization algorithms work for estimation of remaining sensor positions. DV-Hop is the most popular one. Intrinsically, localization is an optimization problem based on various distance/path measures. GA and SA are both widely used approaches toward optimization problems with certain strength and weakness. GASA which combines GA and SA can provide a more powerful optimization method. In this paper, we firstly propose GASA-Hop which uses GASA as a post-optimizer of DV-Hop to further improve the accuracy of its position estimation. Our simulation results reveal that GASA-Hop is effective. © 2009 IEEE.","19","Global positioning system","Genetic algorithms - Mobile computing - Sensor nodes","Localization algorithm - Optimization method - Optimization problems - Optimizers - Position estimation - Sensitive application - Sensor position","722 Computer Systems and Equipment",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"2-Mercaptothiazoline and cetyl pyridinium chloride as inhibitors for the corrosion of a low carbon steel in phosphoric acid","2001256552940","Wang, Lin (1); Yin, Guo-Jian (1); Yin, Jian-Guo (1) ","(1) Department of Chemistry, Yunnan University, Yunnan 650091, Kunming, China ","Wang, L. ","Corrosion Science","Corros. Sci.","","Elsevier Ltd","43","6","1197-1202","June 2001","","","","2001","English","0010938X","","","","10.1016/S0010-938X(00)00138-4","","","","","","CRRSAA","Journal article (JA)","Weight loss studies showed that both 2-mercaptothiazoline and cetyl pyridinium chloride are effective for the inhibition of low carbon steel over a wide concentration range of aqueous phosphoric acid solution. The results for uninhibited acid confirm the kinetic expression proposed by Mathur and Vasudevan (Corrosion 38 (1982) 171). © 2001 Elsevier Science Ltd. All rights reserved.","6","Carbon steel","Corrosion - Organic compounds - Phosphoric acid - Solutions","Weight loss","539.1 Metals Corrosion - 545.3 Steel - 801 Chemistry - 804.1 Organic Compounds - 804.2 Inorganic Compounds","Theoretical (THR); Experimental (EXP)",,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
